"","hitter","launch_angle","exit_velo","BIP","single","double","triple","home_run","woba","woba_bip","whiff_rate","foul_percent","strikeout_percent"
"480","Bradley Jr., Jackie",16,106.832878845706,1380,246,100,7,51,0.295279473931423,0.349528985507246,0.305014289425825,0.336451026240582,0.254229323308271
"481","Garver, Mitch",16,107.553679909325,717,136,52,4,53,0.358492279745686,0.438214783821478,0.239713774597496,0.332737030411449,0.24294813466788
"482","Chisenhall, Lonnie",16,104.915806932108,304,69,23,2,13,0.348502304147465,0.400822368421053,0.238095238095238,0.370656370656371,0.200923787528868
"483","Joyce, Matt",16,103.899253785302,608,109,36,1,33,0.335325506937033,0.350986842105263,0.252348152786475,0.366938008766437,0.1974386339381
"484","Gordon, Nick",16,105.543756888673,459,102,30,7,11,0.300388802488336,0.36437908496732,0.27109375,0.3703125,0.233281493001555
"485","Haniger, Mitch",16,108.069728432293,1417,279,118,9,98,0.365767441860465,0.450741002117149,0.254158712844287,0.359421870739024,0.240783947736818
"486","Seager, Corey",16,108.63983418975,1572,323,123,6,98,0.37004039497307,0.419815521628499,0.248025666337611,0.364017769002962,0.189043556353839
"487","Gómez, Carlos",16,108.958470391294,473,98,33,2,30,0.326028277634961,0.414904862579281,0.300766283524904,0.397190293742018,0.288288288288288
"488","Slater, Austin",16,106.872825507933,612,150,41,6,25,0.328310276679842,0.419362745098039,0.298550724637681,0.346666666666667,0.286422200198216
"489","Stassi, Max",16,106.001607974939,547,109,33,1,24,0.282085561497326,0.361882998171846,0.318090114324143,0.314055144586416,0.312231759656652
"490","Cespedes, Yoenis",16,110.359428373434,304,66,18,1,29,0.385023041474654,0.471381578947368,0.245922208281054,0.372647427854454,0.223502304147465
"491","Hedges, Austin",16,105.066175436726,1060,181,42,2,50,0.25,0.308396226415094,0.300128949065119,0.358156028368794,0.2796817625459
"492","Maile, Luke",16,106.183380316212,510,99,31,1,10,0.273621553884712,0.31421568627451,0.263358778625954,0.347328244274809,0.257214554579674
"493","Gattis, Evan",16,107.736076836574,542,98,36,0,28,0.327041499330656,0.359040590405904,0.200816326530612,0.356734693877551,0.179624664879357
"494","Ellsbury, Jacoby",16,101.192711464768,249,55,15,1,4,0.319728915662651,0.330722891566265,0.162835249042146,0.35823754789272,0.148036253776435
